Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,TWAP_price
1574899200000,220.08,224.6,212.02,217.41,11556.80086,2530899.69,218.305045
1574985600000,217.4,226.49,216.9,224.0,50234.55027,11222828.29,221.828643
1575072000000,223.89,224.67,214.41,217.45,47622.18011,10490318.84,219.41654
1575158400000,217.43,218.18,209.24,214.36,46721.57914,9973168.05,213.643627
1575244800000,214.37,216.25,209.68,213.67,43397.32559,9250970.93,212.961997
1575331200000,213.72,215.95,210.99,211.5,28430.46455,6066320.7,213.515341
1575417600000,211.47,219.68,202.5,207.47,93351.89396,19572146.78,211.112256
1575504000000,207.36,214.46,200.88,211.5,58415.66785,12250900.2,207.628134
1575590400000,211.6,214.0,209.2,212.84,36081.71398,7635950.93,211.58948
1575676800000,212.9,216.62,210.01,211.0,26962.16937,5746370.32,213.34379
1575763200000,210.97,214.89,208.0,212.58,23530.67976,4971614.78,211.440433
1575849600000,212.42,215.08,205.4,208.27,36474.63924,7690860.12,210.234943
1575936000000,208.18,209.35,203.71,206.54,27927.89853,5779008.52,206.512076
1576022400000,206.63,207.99,204.05,207.01,15264.51196,3149193.33,206.018135
1576108800000,207.1,207.97,203.67,206.79,26540.59504,5463102.04,205.818536
1576195200000,206.62,212.71,206.25,211.32,33534.36619,7015487.05,209.557784
1576281600000,211.44,213.11,204.67,205.82,34067.96904,7112457.19,208.922413
1576368000000,205.87,211.72,204.88,206.88,37076.8692,7694355.56,208.310551
1576454400000,206.87,208.67,193.85,196.27,82405.61891,16478839.28,201.214538
1576540800000,196.26,196.96,172.1,176.45,127025.58764,23345354.34,184.185616
1576627200000,176.45,191.75,169.66,189.0,144833.0183,25986405.17,180.527693
1576713600000,188.9,191.0,183.49,185.96,54337.20347,10148526.03,187.23763
1576800000000,186.07,190.72,183.82,187.44,43236.75189,8094064.05,187.275126
1576886400000,187.39,188.43,185.33,186.21,19488.47281,3636819.98,186.883007
1576972800000,186.21,197.4,185.73,196.27,54636.39805,10424136.45,191.639154
1577059200000,196.28,198.0,188.2,189.61,57146.5522,11116931.28,193.120301
1577145600000,189.66,191.68,185.0,188.3,50765.49176,9589235.46,188.333299
1577232000000,188.31,188.78,182.69,185.34,31724.59117,5893381.5,185.666092
1577318400000,185.34,194.99,184.01,187.79,48012.30969,9082429.76,189.536993
1577404800000,187.7,203.92,186.83,203.21,120980.63718,23726165.95,195.354256
1577491200000,203.33,210.0,202.53,206.27,81593.20921,16871566.25,206.324018
1577577600000,206.26,215.94,204.34,212.34,80763.47218,16985762.55,210.201946
1577664000000,212.29,215.0,205.65,208.62,76221.01161,16030753.49,210.319792
1577750400000,208.61,214.11,201.73,204.52,89320.43252,18571184.2,207.95801
1577836800000,204.57,209.0,203.1,204.44,43234.9585,8914580.45,206.050188
1577923200000,204.43,205.53,192.8,195.49,76481.1405,15250316.79,199.053192
1578009600000,195.49,226.0,191.9,222.43,236151.17473,50167864.84,208.948151
1578096000000,222.38,227.64,219.56,224.47,110315.64423,24606733.71,223.602977
1578182400000,224.45,227.63,220.6,222.79,90338.28418,20252110.07,224.121998
1578268800000,222.82,247.0,222.2,244.25,177504.59026,41864004.99,234.844436
1578355200000,244.26,246.9,232.0,242.3,180860.80127,43584856.44,239.43336
1578441600000,242.48,255.19,229.59,240.19,238290.07035,57593772.57,242.392115
1578528000000,240.13,243.89,231.26,238.01,109003.33057,25831452.22,237.564395
1578614400000,238.06,275.0,231.13,271.83,311448.58074,78716114.16,252.738069
1578700800000,271.95,279.49,258.68,260.83,199691.49268,53671209.66,269.292171
1578787200000,260.69,271.39,257.85,270.77,105180.61526,27893928.23,264.441467
1578873600000,270.85,272.99,261.06,267.21,91495.50923,24292551.43,266.977225
1578960000000,267.24,368.08,267.14,348.35,827847.55896,264096424.21,319.499335
1579046400000,348.35,362.89,312.62,339.99,498653.95613,168268576.66,337.710337
1579132800000,340.0,342.96,309.2,326.76,247311.30454,79851321.79,325.788081
1579219200000,326.58,383.92,319.46,368.0,395293.4218,138483570.72,352.196464
1579305600000,367.98,405.86,330.0,339.01,482356.86961,175836092.72,368.476208
1579392000000,338.79,366.27,319.78,339.61,305020.88339,104007649.51,343.025298
1579478400000,339.54,352.94,322.46,343.39,171058.37052,57808951.74,337.684922
1579564800000,343.38,348.22,332.05,343.5,107803.73807,36882075.82,340.134954
1579651200000,343.5,354.52,339.16,349.22,96093.49399,33254970.56,346.857239
1579737600000,349.11,350.15,316.36,325.21,135190.02823,45089583.32,332.696777
1579824000000,325.09,327.95,297.0,318.83,217601.81697,68563765.47,312.37699
1579910400000,318.82,319.27,305.1,310.13,100771.89962,31331217.55,311.947339
1579996800000,310.29,349.96,307.43,348.24,176481.76156,58473128.41,328.553341
1580083200000,348.25,378.19,347.65,362.86,248777.01991,90806168.96,363.366953
1580169600000,362.9,385.38,360.26,378.6,210830.79139,78070864.54,373.044026
1580256000000,378.43,396.31,375.8,380.26,200640.1964,77426438.06,386.068381
1580342400000,380.24,399.34,370.88,392.69,197841.16173,76640849.63,385.041917
1580428800000,392.52,394.99,364.16,374.86,146704.06246,55423289.41,379.207281
1580515200000,374.89,389.64,372.31,380.08,106551.71789,40621518.29,381.055048
1580601600000,380.16,387.7,368.91,377.34,98738.97527,37471282.46,378.30248
1580688000000,377.24,392.84,374.4,384.25,132459.04345,50751441.76,383.727764
1580774400000,384.19,389.5,372.38,380.93,111599.02261,42483323.55,380.92518
1580860800000,380.95,445.46,378.72,444.92,254489.93106,105836654.93,411.838055
1580947200000,444.93,448.43,416.88,445.76,183772.05365,80673959.7,432.652804
1581033600000,445.69,459.7,432.12,439.21,152210.53024,67274029.35,445.958419
1581120000000,439.39,454.5,425.16,444.46,147309.77991,65395139.77,439.814243
1581206400000,444.46,460.55,434.79,449.72,149967.53436,67466627.43,447.676109
1581292800000,449.77,463.37,435.86,452.05,150905.28806,67617057.04,449.612772
1581379200000,452.0,469.32,440.44,461.89,149039.05207,67659665.39,454.817629
1581465600000,462.0,481.87,462.0,473.55,163282.70277,77303931.19,472.318822
1581552000000,473.55,484.98,457.7,477.32,174921.81401,82409293.14,471.320354
1581638400000,477.17,498.23,465.99,493.77,141147.43543,68454718.2,481.8715
1581724800000,493.77,494.99,414.0,438.96,202082.72431,92418177.18,452.960179
1581811200000,438.88,458.22,382.09,411.68,254154.92558,106719249.36,419.986055
1581897600000,411.81,417.09,367.0,412.99,366860.16592,143248942.5,392.042176
1581984000000,412.99,427.47,385.0,420.2,243144.07689,99294133.62,406.159812
1582070400000,420.38,423.7,370.0,378.46,146767.64105,59143558.28,396.388099
1582156800000,378.37,388.0,352.7,371.1,207799.23573,77566186.55,370.303004
1582243200000,370.88,388.88,367.23,377.74,135650.11257,51277503.72,378.151419
1582329600000,377.93,380.43,366.93,373.14,90739.12749,33916325.02,373.61972
1582416000000,372.99,404.42,372.24,401.57,119949.80434,46950831.22,388.587912
1582502400000,401.5,408.43,363.0,378.22,192156.78539,73902231.77,385.423771
1582588800000,378.08,379.85,343.99,353.07,181646.01154,65750084.07,361.414008
1582675200000,353.01,362.41,301.1,316.67,426041.48888,137797223.32,331.457952
1582761600000,316.77,335.4,307.16,324.62,240590.21235,77933912.89,321.291523
1582848000000,324.48,329.34,298.95,314.97,224510.28774,70130499.38,314.004964
1582934400000,315.09,322.59,305.0,306.11,139466.90438,43689851.85,314.017686
1583020800000,305.9,325.0,304.13,311.9,150571.38912,47240577.21,314.684527
1583107200000,311.9,343.0,310.68,339.33,227311.54962,74009701.91,327.109036
1583193600000,339.33,339.38,321.13,329.61,175358.92439,57935379.08,329.933271
1583280000000,329.66,332.19,308.35,319.46,104895.17055,33733618.97,320.064255
1583366400000,319.58,343.46,319.36,337.1,152373.42593,51026054.86,331.877362
1583452800000,337.08,353.61,332.3,350.73,157186.64747,54443801.78,342.846417
1583539200000,350.74,351.11,327.09,330.92,116341.38746,39637127.72,338.745119
1583625600000,330.77,330.77,268.05,272.77,270727.90033,79803680.33,298.768264
1583712000000,272.9,280.29,252.13,273.0,382248.99619,102489684.98,266.209979
1583798400000,273.04,277.95,262.8,271.79,160017.40439,43346595.92,270.371522
1583884800000,271.85,275.0,250.02,266.98,149899.32355,39503844.81,262.44376
1583971200000,267.08,267.82,136.0,144.13,708864.98116,134580646.51,200.88303
1584057600000,144.13,189.67,129.0,177.46,1012301.98599,163870789.68,159.215852
1584144000000,177.46,180.4,163.94,167.2,272980.24732,46977681.46,172.152786
1584230400000,167.08,190.69,165.44,178.2,263894.36499,46091858.49,178.341447
1584316800000,178.2,184.41,147.14,172.41,472884.60249,77858844.01,165.717151
1584403200000,172.45,188.27,168.73,182.41,306472.09152,55318174.66,178.574329
