chosen_symbol,compare_symbol,correlation,hedgingratio_slope,spread_intercept,pvalue
DOTUSDT,NEARUSDT,0.9811760325480025,0.8562140817871076,-1.4751179813859823,8.644764271802996e-05
ETHUSDT,ALGOUSDT,0.3742183524072545,0.41682144103220153,-3.4495103909258553,0.00011185721713718312
ADAUSDT,ALGOUSDT,0.37493198746434553,0.3502914676660313,-0.20221793018755307,0.00011371229308119131
AVAXUSDT,ATOMUSDT,0.9718666487283697,0.6438091959891317,0.788971638946562,0.0005295829290603552
DOTUSDT,ALGOUSDT,0.949819736341702,0.6511826762975047,-2.1022173978549183,0.000554321086380518
BNBUSDT,ALGOUSDT,0.7360538690621162,1.1846969024040843,-4.747085679010289,0.002968207492883517
NEARUSDT,ATOMUSDT,0.9583069815352571,0.7920709425706328,1.7175579453857392,0.008393428458455565
ETHUSDT,BNBUSDT,-0.06396466672394412,-0.06133101819743495,2.8952049347008826,0.01417790564248199
DOTUSDT,ATOMUSDT,0.9606097703693168,0.6558005830264997,0.6217358606646985,0.014351937501903654
ALGOUSDT,NEARUSDT,0.9557868798029381,1.1319848233151726,1.2603020407314958,0.01700828718867172
AVAXUSDT,NEARUSDT,0.9575624937171677,0.7555292724243498,-1.0203746607982365,0.017795409582553417
AVAXUSDT,ALGOUSDT,0.9652398789694216,0.6546594184176582,-1.9853243462989243,0.021225162214170694
AVAXUSDT,DOTUSDT,0.9695323885700676,0.9137668793797328,0.43634292812190667,0.028846893224480488
