1675555200000.0,2.503,2.558,2.485,2.53
1675562400000.0,2.53,2.548,2.495,2.522
1675569600000.0,2.522,2.533,2.508,2.512
1675576800000.0,2.512,2.53,2.5,2.52
1675584000000.0,2.521,2.554,2.517,2.525
1675591200000.0,2.524,2.535,2.502,2.513
1675598400000.0,2.512,2.52,2.345,2.405
1675605600000.0,2.405,2.416,2.371,2.382
1675612800000.0,2.383,2.4,2.335,2.354
1675620000000.0,2.354,2.374,2.335,2.361
1675627200000.0,2.36,2.371,2.328,2.363
1675634400000.0,2.363,2.396,2.355,2.386
1675641600000.0,2.386,2.429,2.384,2.403
1675648800000.0,2.402,2.408,2.367,2.382
1675656000000.0,2.382,2.397,2.34,2.376
1675663200000.0,2.376,2.392,2.351,2.389
1675670400000.0,2.389,2.395,2.368,2.374
1675677600000.0,2.374,2.381,2.345,2.376
1675684800000.0,2.377,2.384,2.355,2.359
1675692000000.0,2.358,2.393,2.329,2.391
1675699200000.0,2.391,2.403,2.367,2.381
1675706400000.0,2.382,2.402,2.368,2.379
1675713600000.0,2.379,2.383,2.337,2.341
1675720800000.0,2.342,2.346,2.278,2.307
1675728000000.0,2.306,2.324,2.3,2.318
1675735200000.0,2.319,2.334,2.311,2.326
1675742400000.0,2.327,2.338,2.323,2.333
1675749600000.0,2.333,2.344,2.327,2.333
1675756800000.0,2.332,2.368,2.314,2.359
1675764000000.0,2.36,2.375,2.354,2.357
1675771200000.0,2.358,2.369,2.335,2.35
1675778400000.0,2.349,2.361,2.322,2.333
1675785600000.0,2.332,2.395,2.314,2.389
1675792800000.0,2.39,2.409,2.302,2.376
1675800000000.0,2.377,2.494,2.367,2.484
1675807200000.0,2.483,2.512,2.467,2.494
1675814400000.0,2.493,2.519,2.48,2.485
1675821600000.0,2.484,2.501,2.473,2.497
1675828800000.0,2.497,2.568,2.497,2.551
